PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REGION	CHR_ID	CHR_POS	STRONGEST SNP-RISK ALLELE	SNPS	SNP_ID_CURRENT	CONTEXT	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	19q13.32	19	47065746	rs3810291-A	rs3810291	3810291	3_prime_UTR_variant	0.67	2E-12	11.698970004336
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	2p16.1	2	59075742	rs887912-T	rs887912	887912	intron_variant	0.29	2E-12	11.698970004336
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	3p12.1	3	85835000	rs13078807-G	rs13078807	13078807	intron_variant	0.2	4E-11	10.397940008672
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	14q12	14	30045906	rs11847697-T	rs11847697	11847697	intron_variant	0.04	6E-11	10.2218487496164
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	2q22.2	2	142202362	rs2890652-C	rs2890652	2890652	intergenic_variant	0.18	1E-10	10
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	1p21.3	1	96479241	rs1555543-C	rs1555543	1555543	intergenic_variant	0.59	4E-10	9.39794000867204
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	13q12.2	13	27446043	rs4771122-G	rs4771122	4771122	intron_variant	0.24	9E-10	9.04575749056068
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	5q23.2	5	124996410	rs4836133-A	rs4836133	4836133	intron_variant	0.48	2E-09	8.69897000433602
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	11p15.4	11	8583046	rs4929949-C	rs4929949	4929949	intron_variant	0.52	3E-09	8.52287874528034
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	6p21.31	6	34335092	rs206936-G	rs206936	206936	intron_variant	0.21	3E-08	7.52287874528034
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	8q21.13	8	75661476	rs2922763-T	rs2922763	2922763	intergenic_variant	0.71	6E-08	7.22184874961636
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	16p13.3	16	3988386	rs2444217-A	rs2444217	2444217	intron_variant	0.57	9E-08	7.04575749056068
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	9q33.3	9	126703046	rs867559-G	rs867559	867559	regulatory_region_variant	0.22	1E-07	7
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	17q21.32	17	48046570	rs3764400-C	rs3764400	3764400	non_coding_transcript_exon_variant	0.14	4E-07	6.39794000867204
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	5q12.1	5	63522073	rs255414-A	rs255414	255414	intergenic_variant	0.81	1E-06	6
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	7q11.23	7	77010554	rs6955651-T	rs6955651	6955651	intron_variant	0.18	2E-06	5.69897000433602
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	6q22.33	6	127131494	rs9491696-G	rs9491696	9491696	intron_variant	0.48	2E-40	39.698970004336
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	6p21.1	6	43791136	rs6905288-A	rs6905288	6905288	intergenic_variant	0.56	6E-25	24.2218487496164
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	1p12	1	118961220	rs984222-G	rs984222	984222	intron_variant	0.64	9E-25	24.0457574905607
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	7p15.2	7	25831489	rs1055144-T	rs1055144	1055144	regulatory_region_variant	0.21	1E-24	24
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	2q24.3	2	164656581	rs10195252-T	rs10195252	10195252	intron_variant	0.6	2E-24	23.698970004336
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	1q41	1	219577375	rs4846567-G	rs4846567	4846567	regulatory_region_variant	0.71	7E-21	20.1549019599857
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	1q24.3	1	172377408	rs1011731-G	rs1011731	1011731	intron_variant	0.43	1E-17	17
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	12p11.23	12	26300350	rs718314-G	rs718314	718314	intron_variant	0.26	1E-17	17
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	6p25.1	6	6742916	rs1294421-G	rs1294421	1294421	regulatory_region_variant	0.61	2E-17	16.698970004336
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	12q13.13	12	53948900	rs1443512-A	rs1443512	1443512	TF_binding_site_variant	0.24	6E-17	16.2218487496164
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	3p14.1	3	64719689	rs6795735-C	rs6795735	6795735	intron_variant	0.59	1E-13	13
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	22q12.1	22	29055683	rs4823006-A	rs4823006	4823006	3_prime_UTR_variant	0.57	1E-11	11
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	3p21.1	3	52472410	rs6784615-T	rs6784615	6784615	intron_variant	0.94	4E-10	9.39794000867204
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	5q35.2	5	173935455	rs6861681-A	rs6861681	6861681	intron_variant	0.34	2E-09	8.69897000433602
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	6p21.32	6	32396178	rs2076529-C	rs2076529	2076529	synonymous_variant	0.43	4E-07	6.39794000867204
20935629	Heid IM	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935629	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	Up to 77,167 European ancestry individuals	10p11.22	10	31701695	rs7081678-A	rs7081678	7081678	intron_variant	0.09	6E-06	5.22184874961636
20953186	Huffmeier U	2010-10-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20953186	Common variants at TRAF3IP2 are associated with susceptibility to psoriatic arthritis and psoriasis.	Psoriatic arthritis	572 European ancestry cases, 888 European ancestry controls	6p21.33	6	31273332	rs13191343-T	rs13191343	13191343	intron_variant	0.13	2E-72	71.698970004336
20953186	Huffmeier U	2010-10-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20953186	Common variants at TRAF3IP2 are associated with susceptibility to psoriatic arthritis and psoriasis.	Psoriatic arthritis	572 European ancestry cases, 888 European ancestry controls	5q33.3	5	159402519	rs12188300-T	rs12188300	12188300	intron_variant	0.08	7E-17	16.1549019599857
20953186	Huffmeier U	2010-10-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20953186	Common variants at TRAF3IP2 are associated with susceptibility to psoriatic arthritis and psoriasis.	Psoriatic arthritis	572 European ancestry cases, 888 European ancestry controls	6q21	6	111592059	rs33980500-T	rs33980500	33980500	missense_variant	0.07	1E-20	20
20953188	Ellinghaus E	2010-10-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20953188	Genome-wide association study identifies a psoriasis susceptibility locus at TRAF3IP2.	Psoriasis	472 European ancestry cases, 1,146 European ancestry controls	5q33.3	5	159332892	rs2546890-A	rs2546890	2546890	non_coding_transcript_exon_variant	0.56	1E-20	20
20953188	Ellinghaus E	2010-10-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20953188	Genome-wide association study identifies a psoriasis susceptibility locus at TRAF3IP2.	Psoriasis	472 European ancestry cases, 1,146 European ancestry controls	6q21	6	111592059	rs33980500-T	rs33980500	33980500	missense_variant	0.08	1E-16	16
20972438	Rothman N	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	Bladder cancer	3,532 European ancestry cases, 5,120 European ancestry controls	22q13.1	22	38936618	rs1014971-?	rs1014971	1014971	regulatory_region_variant	0.62	8E-12	11.0969100130081
20972438	Rothman N	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	Bladder cancer	3,532 European ancestry cases, 5,120 European ancestry controls	19q12	19	29805946	rs8102137-C	rs8102137	8102137	regulatory_region_variant	0.33	2E-11	10.698970004336
20972438	Rothman N	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	Bladder cancer	3,532 European ancestry cases, 5,120 European ancestry controls	2q37.1	2	233656637	rs11892031-?	rs11892031	11892031	intron_variant	0.92	1E-07	7
20972438	Rothman N	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	Bladder cancer	3,532 European ancestry cases, 5,120 European ancestry controls	8p22	8	18415371	rs1495741-?	rs1495741	1495741	regulatory_region_variant	0.8	4E-11	10.397940008672
20972438	Rothman N	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	Bladder cancer	3,532 European ancestry cases, 5,120 European ancestry controls	8q24.21	8	127705823	rs9642880-T	rs9642880	9642880	intron_variant	0.45	2E-18	17.698970004336
20972438	Rothman N	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	Bladder cancer	3,532 European ancestry cases, 5,120 European ancestry controls	8q24.3	8	142680513	rs2294008-T	rs2294008	2294008	5_prime_UTR_variant	0.46	4E-11	10.397940008672
20972438	Rothman N	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	Bladder cancer	3,532 European ancestry cases, 5,120 European ancestry controls	5p15.33	5	1321972	rs401681-C	rs401681	401681	intron_variant	0.54	5E-07	6.30102999566398
20972438	Rothman N	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	Bladder cancer	3,532 European ancestry cases, 5,120 European ancestry controls	4p16.3	4	1732512	rs798766-T	rs798766	798766	intron_variant	0.19	4E-13	12.397940008672
20972440	Houlston RS	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33.	Colorectal cancer	3,334 European ancestry cases, 4,628 European ancestry controls	1q41	1	221872104	rs6691170-T	rs6691170	6691170	intergenic_variant	NR	1E-09	9
20972440	Houlston RS	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33.	Colorectal cancer	3,334 European ancestry cases, 4,628 European ancestry controls	3q26.2	3	169774313	rs10936599-C	rs10936599	10936599	synonymous_variant	NR	3E-08	7.52287874528034
20972440	Houlston RS	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33.	Colorectal cancer	3,334 European ancestry cases, 4,628 European ancestry controls	12q13.12	12	50761880	rs11169552-C	rs11169552	11169552	intergenic_variant	NR	2E-10	9.69897000433602
20972440	Houlston RS	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33.	Colorectal cancer	3,334 European ancestry cases, 4,628 European ancestry controls	20q13.33	20	62345988	rs4925386-C	rs4925386	4925386	intron_variant	NR	2E-10	9.69897000433602
20972438	Rothman N	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972438	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.	Bladder cancer	3,532 European ancestry cases, 5,120 European ancestry controls				GSTM1 Del-?	GSTM1 Del			0.51	5E-31	30.301029995664
21037568	Enciso-Mora V	2010-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21037568	A genome-wide association study of Hodgkin's lymphoma identifies new susceptibility loci at 2p16.1 (REL), 8q24.21 and 10p14 (GATA3).	Hodgkin's lymphoma	589 European ancestry cases, 5,199 European ancestry controls	2p16.1	2	60839531	rs1432295-G	rs1432295	1432295	intron_variant	0.4	2E-08	7.69897000433602
21037568	Enciso-Mora V	2010-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21037568	A genome-wide association study of Hodgkin's lymphoma identifies new susceptibility loci at 2p16.1 (REL), 8q24.21 and 10p14 (GATA3).	Hodgkin's lymphoma	589 European ancestry cases, 5,199 European ancestry controls	6p21.32	6	32460508	rs6903608-G	rs6903608	6903608	intron_variant	0.27	3E-50	49.5228787452803
21037568	Enciso-Mora V	2010-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21037568	A genome-wide association study of Hodgkin's lymphoma identifies new susceptibility loci at 2p16.1 (REL), 8q24.21 and 10p14 (GATA3).	Hodgkin's lymphoma	589 European ancestry cases, 5,199 European ancestry controls	8q24.21	8	128180025	rs2019960-G	rs2019960	2019960	intron_variant	0.23	1E-13	13
21037568	Enciso-Mora V	2010-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21037568	A genome-wide association study of Hodgkin's lymphoma identifies new susceptibility loci at 2p16.1 (REL), 8q24.21 and 10p14 (GATA3).	Hodgkin's lymphoma	589 European ancestry cases, 5,199 European ancestry controls	10p14	10	8051071	rs501764-C	rs501764	501764	non_coding_transcript_exon_variant	0.19	7E-08	7.15490195998574
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	3p22.2	3	38725824	rs6801957-T	rs6801957	6801957	intron_variant	0.41	1E-28	28
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	3p22.2	3	38592432	rs11708996-C	rs11708996	11708996	intron_variant	0.16	1E-16	16
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	6p21.2	6	36655602	rs9470361-A	rs9470361	9470361	regulatory_region_variant	0.25	3E-27	26.5228787452803
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	12q24.21	12	114355435	rs883079-C	rs883079	883079	3_prime_UTR_variant	0.29	1E-10	10
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	1p32.3	1	51080468	rs17391905-G	rs17391905	17391905	intergenic_variant	0.05	3E-10	9.52287874528034
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	7p12.3	7	46580547	rs7784776-G	rs7784776	7784776	intergenic_variant	0.43	1E-09	9
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	13q22.1	13	73946049	rs1886512-A	rs1886512	1886512	intron_variant	0.37	1E-08	8
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	3p14.1	3	66381178	rs2242285-A	rs2242285	2242285	intron_variant	0.42	1E-08	8
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	10q21.1	10	52464217	rs1733724-A	rs1733724	1733724	intron_variant	0.25	3E-08	7.52287874528034
21076409	Sotoodehnia N	2010-11-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	QRS duration	39,717 European ancestry individuals, 690 Orcadian individuals	17q21.32	17	46935905	rs17608766-C	rs17608766	17608766	3_prime_UTR_variant	0.16	5E-10	9.30102999566398
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	6q16.3	6	104931079	rs7759938-C	rs7759938	7759938	intron_variant	0.32	5E-60	59.301029995664
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	9q31.2	9	106204807	rs2090409-A	rs2090409	2090409	intron_variant	0.31	2E-33	32.698970004336
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	7p14.1	7	41430495	rs1079866-G	rs1079866	1079866	intergenic_variant	0.15	6E-14	13.2218487496164
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	1q23.3	1	165425645	rs466639-T	rs466639	466639	intron_variant	0.13	1E-13	13
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	3q13.32	3	117855975	rs6438424-A	rs6438424	6438424	intron_variant	0.5	1E-13	13
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	18q21.1	18	47225867	rs1398217-G	rs1398217	1398217	intron_variant	0.43	2E-13	12.698970004336
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	2q33.1	2	198767841	rs12617311-A	rs12617311	12617311	intron_variant	0.32	6E-13	12.2218487496164
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	17q21.33	17	51536424	rs9635759-A	rs9635759	9635759	regulatory_region_variant	0.32	7E-13	12.1549019599857
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	11q24.1	11	122999975	rs6589964-A	rs6589964	6589964	regulatory_region_variant	0.48	2E-12	11.698970004336
20953188	Ellinghaus E	2010-10-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20953188	Genome-wide association study identifies a psoriasis susceptibility locus at TRAF3IP2.	Psoriasis	472 European ancestry cases, 1,146 European ancestry controls	6p21.33	6	31285148	rs12191877-?	rs12191877	12191877	intron_variant	NR	4E-32	31.397940008672
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	9q31.3	9	111531354	rs10980926-A	rs10980926	10980926	intron_variant	0.36	4E-11	10.397940008672
21102462	Elks CE	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102462	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	86,142 European ancestry female individuals, 557 Old Order Amish (founder/genetic isolate) female individuals, 1,103 Erasmus Rucphen (founder/genetic isolate) female individuals	2p16.1	2	56364948	rs17268785-G	rs17268785	17268785	intron_variant	0.17	1E-10	10
